Method Name,Paper Title,PubMedID,Year,Type of Reprogramming,Code Repo,Datasets Used
OCSANA+,OCSANA+: optimal control and simulation of signaling networks from network analysis,32879935,2020,Directed differentiation; Phenotype reprogramming,https://github.com/VeraLiconaResearchGroup/OCSANA-Plus_SourceCode; Cytoscape app: https://apps.cytoscape.org/apps/ocsana,
"SeesawPred, Hartman et al.",SeesawPred: a web application for predicting cell‑fate determinants in cell differentiation.,30190516,2018,Directed Differentiation,Web tool: http://seesaw.lcsb.uni.lu,
OncoTreat,A precision oncology approach to the pharmacological targeting of mechanistic dependencies in neuroendocrine tumors,29915428,2018,Phenotype reprogramming / tumor state reversal. The approach seeks to destabilize tumor cell state by inverting MR activities; authors note checkpoint collapse may induce differentiation/reprogramming phenotypes.,Columbia University Laboratory of Personalized Genomic Medicine: https://www.pathology.columbia.edu/departments-divisions/division-personalized-genomic-medicine. The ARACNe algorithm is available from Columbia University Systems Biology Department: http://califano.c2b2.columbia.edu/software/. The VIPER and aREA algorithms are part of the `viper’ R-system’s package available from Bioconductor: https://www.bioconductor.org/packages/release/bioc/html/viper.html. The neuroendocrine context-specific regulatory network model is available from Figshare: https://doi.org/10.6084/m9.figshare.6007232.,ARACNE_VIPER_REGULONS
Boundary-reaching control (BRC),Minimal intervening control of biomolecular networks leading to a desired cellular state,31511585,2019,Phenotype reprogramming,Not Available,
"Synergistic identity TF core, Okawa & del Sol","A general computational approach to predicting
synergistic transcriptional cores that determine cell
subpopulation identities",30820550,2019,Transdifferentiation of subpopulation reprogramming,https://gitr3lab.uni.lu/satoshi.okawa/synergisticcore,
"BoolIFFNN, Choo et al.",Boolean Feedforward Neural Network Modeling of Molecular Regulatory Networks for Cellular State Conversion,33335489,2020,"Directed differentiation (HSC→LMPP example) and Phenotype reprogramming (e.g., cancer reversion)",Not Available,
Sordo et al.,Control of Intracellular Molecular Networks Using Algebraic Methods,31919596,2020,Phenotype reprogramming / attractor control,https://github.com/luissv7/multistatepdscontrol,
Aguilar et al.,A Near-Optimal Control Method for Stochastic Boolean Networks,34141873,2020,Phenotype reprogramming / attractor control,https://github.com/boaguilar/SDDScontrol,
"TransSynW (Messias Ribeiro,.., del Sol)","TransSynW: A single-cell RNA-sequencing based web
application to guide cell conversion experiments",33125830,2020,"Directed differentiation &  transdifferentiation e.g., naïve↔primed mESC, memory vs naïve lymphocytes).",Web tool: https://transsynw.lcsb.uni.lu,PANGLAODB
ANANSE (Xu et al.),ANANSE: an enhancer network-based computational approach for predicting key transcription factors in cell fate determination,34244796,2021,Indirect to pluripotency (iPSC) and Transdifferentiation,ANANSE source code is available from https://github.com/vanheeringen-lab/ANANSE. Jupyter notebooks for supporting analyses are provided at https://github.com/vanheeringen-lab/ANANSE-manuscript). GRNs inferred with ANANSE are available from Zenodo (tissue-specific GRNs https://doi.org/10.5281/zenodo.4814016; cell type-specific GRNs https://doi.org/10.5281/zenodo.4809062). Tissue-specific GRNs inferred with GRNBoost2 are available from Zenodo (https://doi.org/10.5281/zenodo.4814015).,10.5281/ZENODO.3921913;10.5281/ZENODO.4066423;10.5281/ZENODO.4114608;10.5281/ZENODO.4809062;10.5281/ZENODO.4814015;10.5281/ZENODO.4814016;ENCODE;GSE96760;GSE98894
CABEAN,CABEAN: a software for the control of asynchronous Boolean networks,32845335,2021,Transdifferentiation framed and phenotype reprogramming,https://satoss.uni.lu/software/CABEAN/,
DECCODE,Automatic identification of small molecules that promote cell conversion and reprogramming,33891873,2021,Indirect reprogramming to pluripotency (fibroblast→hiPSC). Predictions provided for conversions to many other cell types.,https://zenodo.org/records/3732772 (Web tool offline: https://fantom.gsc.riken.jp/5/cellconv/),GSE70138;LINCS_L1000
IRENE,A computer-guided design tool to increase the efficiency of cellular conversions,33712564,2021,"•	Directed differentiation (experimentally validated: hiPSC → mammary epithelial cells, melanocytes, NK cells).
•	Transdifferentiation (also applicable to direct lineage conversion).
•	Also applied in silico to prioritize factors for indirect reprogramming to pluripotency",https://github.com/saschajung/IRENE,E-MTAB-6819;FANTOM5;GSE118389;GSE132044;GSE151091;GSE165961
Taiji-reprogram,"Taiji-reprogram: a framework to uncover cell-type
specific regulators and predict cellular
reprogramming cocktails",34761218,2021,Indirect of pluripotency and Transdifferentiation (iPSC)—the framework proposes TF cocktails for conversions among many cell/tissue types and recovers Yamanaka type factors for iPSC.,https://github.com/Wang-lab-UCSD/Taiji-reprogram,ENCODE;ROADMAP_EPIGENOMICS
CELLoGeNe (Anderson et al.),CELLoGeNe – An energy landscape framework for logical networks controlling cell decisions.,35942105,2022,Indirect reprogramming to pluripotency (MEF→iPSC),https://github.com/Emil-cbbp/CELLoGeNe,
cSTAR (Rukhlenko…Kholodenko),Control of cell state transitions,36104561,2022,"Phenotype reprogramming / cell state transition control (e.g., proliferation↔differentiation; apoptosis induction; EMT modulation).",https://github.com/OleksiiR/cSTAR_Nature,GSE147405
PBNs (Tercan…Shmulevich),Probabilistic boolean networks predict transcription factor targets to induce transdifferentiation,36093045,2022,"Transdifferentiation) (e.g., progenitor B cell → monocyte).",https://github.com/IlyaLab/CellReprogramming,10.5281/ZENODO.6954489;GSE116256
NETISCE — NETwork drIven analySis of CEllular reprogramming,NETISCE: a network based tool for cell fate reprogramming,35725577,2022,"Directed differentiation, Phenotype Reprogramming",https://github.com/VeraLiconaResearchGroup/Netisce,GSE88928
scREMOTE (single cell REprogramming MOdel Through cis-regulatory Elements),scREMOTE: Using multimodal single cell data to predict regulatory gene relationships and to build a computational cell reprogramming model,35300460,2022,Directed differentiation,https://github.com/SydneyBioX/scREMOTE,GSE140203
TRANSDIRE,TRANSDIRE: data-driven direct reprogramming by a pioneer factor-guided trans-omics approach,35561200,2022,"Transdifferentiation (focus: fibroblast → hepatocyte, chondrocyte/cartilage, neuron, cardiomyocyte, pancreatic, Paneth cell).",https://figshare.com/s/b653781a5b9e6639972b,GSE7307
CellOracle (Kamimoto et al.),Dissecting cell identity via network inference and in silico gene perturbation.,36755098,2023,Directed differentiation and phenotype reprogramming (simulates TF driven shifts along developmental trajectories; shown in mouse/human haematopoiesis and zebrafish embryogenesis),https://github.com/morris-lab/CellOracle,E-MTAB-7324;E-MTAB-7325;GSE112824;GSE145298;GSE72859;GSE96769;PRJNA606682;SRR8119827;SRR8119833;SRR8119835;SRR8119839;SRR8119864
DCGS — Divide and Conquer Global Stabilization,Global stabilizing control of large-scale biomolecular regulatory networks,36688702,2023,Phenotype reprogramming,https://github.com/sugyun/DCGS,
scANANSE,scANANSE gene regulatory network and motif analysis of single-cell clusters,38116584,2023,Directed differentiation,"Zenodo 10.5281/zenodo.7575107 with raw & processed PBMC multi omics objects, scripts, and vignettes",10.5281/ZENODO.7575107;ENCODE;GSE164378
PC3T,PC3T: a signature-driven predictor of chemical compounds for cellular transition,37758874,2023,"Indirect reprogramming to pluripotency (fibroblast→iPSC), Directed differentiation (ESC→neuron), and Transdifferentiation(fibroblast→neuron; fibroblast→hepatic progenitor like cells).",Web tool [Offline][!],GSE70138;LINCS_L1000
SiPER,A single cell-based computational platform to identify chemical compounds targeting desired sets of transcription factors for cellular conversion,36400030,2023,"General: supports direct lineage conversion (transdifferentiation), directed differentiation, indirect reprogramming to pluripotency, and phenotype state conversions (e.g., primed→naive ESCs; fibroblast→neuron; MSC→adipocyte; fibroblast→iPSC).",https://siper.uni.lu,GSE162908;GSE162909
Transfer Learning (Wytock et al.),Cell reprogramming design by transfer learning of functional transcriptional networks,38437548,2024,"Indirect Reprogramming to Pluripotency, Transdifferentiation, Phenotype reprogramming",https://github.com/twytock/cell_reprogramming_by_transfer_learning,GPL570;GSE36139;GSE7307
CAESAR,Canalizing kernel for cell fate determination,39171985,2024,"Directed Differentiation,  Phenotype reprogramming, Transdifferentiation",https://github.com/namheee/CAESAR,GSE17316;GSE62155
DIRECTEUR,DIRECTEUR: transcriptome-based prediction of small molecules that replace transcription factors for direct cell conversion,38273708,2024,Transdifferentiation via small‑molecule combinations (demonstrated in silico for fibroblast→neuron and fibroblast→cardiomyocyte).,https://github.com/HamanoLaboratory/DIRECTEUR,GSE22292;GSE27174
pbn-STAC,"pbn-STAC: Deep Reinforcement Learning-based Framework for
Cellular Reprogramming",Not indexed in PUBMED,2025,Phenotype reprogramming,https://github.com/jakub-zarzycki2022/pbn-stac,
CellCartographer,Machine guided cell fate engineering,40382774,2025,"Directed differentiation from iPSCs to target cell types (e.g., hepatocytes, type II astrocytes, cytotoxic and regulatory T cells, B cells, microglia).",https://github.com/eappleton/cellcartographer,GSE214951
BoNesis + CABEAN + Ensemble MaBoSS,Data driven inference of Boolean networks from transcriptomes to predict cellular differentiation and reprogramming,41006334,2025,Directed differentiation modeling (hematopoiesis). And Transdifferentiation (adipocyte → osteoblast),https://bnediction.github.io/bonesis,10.5281/ZENODO.16990754;PRJEB82479
TFcomb,TFcomb identifies transcription factor combinations for cellular reprogramming based on single-cell multiomics data,40210438,2025,"directed differentiation (mouse hair follicle lineages), Indirect reprogramming to pluripotency (fibroblast→iPSC), Transdifferentiation (e.g., fibroblast→keratinocyte/macrophage/cardiomyocyte; B cell→macrophage),",https://github.com/Chen-Li-17/TFcomb,E-MTAB-11616;GSE140203;GSE174367;GSE217215;GSM4644946;GSM4644948;GSM4644956;GSM5696148;GSM5696149;GSM5795776
REVERT,"Attractor Landscape Analysis Reveals a Reversion Switch in the Transition of Colorectal Tumorigenesis. 
PubMedID",39840939,2025,Phenotype reprogramming (cancer reversion)—driving cancer cells toward a normal like state by reshaping the attractor landscape.,https://github.com/dshin-ncc/REVERT,GSE283167
Drug Reflector,Active learning framework leveraging transcriptomics identifies modulators of disease phenotypes,41129612,2025,"Phenotype reprogramming and directed differentiation (e.g., induction of megakaryocyte and erythroid progenitors from human CD34+ HSPCs).",https://github.com/Cellarity/drugreflector,10.5281/ZENODO.16912445;10.5281/ZENODO.16921906;10.5281/ZENODO.16921928;CMAP;DEPMAP_ACHILLES;GSE305370;GSE305979;GSE306429;LINCS_L1000
PDGrapher,"Combinatorial prediction of therapeutic
perturbations using causally inspired
neural networks",40925962,2025,Phenotype reprogramming (computationally proposes target sets predicted to shift diseased states toward treated/healthy states),https://github.com/mims-harvard/PDGrapher,10.5281/ZENODO.15375990;10.5281/ZENODO.15390483;BIOGRID;CMAP;LINCS_L1000;STRING
REVIVE,REVIVE: a computational platform for systematically identifying rejuvenating chemical and genetic perturbations,41296513,2025,"Phenotype Reprogramming (rejuvenation: aged to youthful transcriptional state, lineage preserved)",https://github.com/saschajung/REVIVE,AGEANNO;AGING_ATLAS;DRUGAGE;GTEX;LINCS_L1000;MULTITIMER
CANDiT,CANDiT: A machine learning framework for differentiation therapy in colorectal cancer,41118768,2025,Phenotype Reprogramming (CDX2-low / poorly-differentiated / CSC-like CRC to CDX2-high / differentiated intestinal epithelial state),https://github.com/sinha7290/Prodiff,CLINICALTRIALS_GOV;GPL570;GSE10843;GSE13067;GSE14333;GSE17538;GSE237623;GSE237624;GSE237625;GSE31255;GSE31595;GSE33113;GSE37892;GSE39582;GSE40492;GSE77953;GSE87211
SwitchTFI,SwitchTFI: identifying transcription factors driving cell differentiation,41331466,2025,Directed Differentiation (progenitor to offspring cell state along an inferred trajectory),https://github.com/bionetslab/SwitchTFI; also distributed on Bioconda (https://anaconda.org/bioconda/switchtfi); interoperable with scverse/Scanpy/anndata,10.5281/ZENODO.1208723;10.5281/ZENODO.17182180;10.5281/ZENODO.17184571
Atlas-guided T-cell programming,Atlas-guided discovery of transcription factors for T cell programming,41639465,2026,Phenotype Reprogramming (within CD8+ T-cell lineage: selective inhibition of the TEXterm state while preserving TRM),https://github.com/Wang-lab-UCSD/Taiji2,ENCODE;GSE10898;GSE123814;GSE125449;GSE139324;GSE156728;GSE181785;GSE199565;GSE240822;GSE279498;GSE98638;GSE99254;PRJNA768891
REPROcode,A combinatorial transcription factor screening platform for immune cell reprogramming,41539305,2026,"Transdifferentiation (human embryonic fibroblasts HEFs to cDC1, monocyte, macrophage, and NK-like identities)",https://zenodo.org/records/17348409 (DOI 10.5281/zenodo.17348409); not on GitHub,ADDGENE;E-MTAB-11536;GSE131957;GSE159786;GSE162650;GSE200174;GSE201333;GSE216481;GSE298471;GSE298487;GSE94820
TRAPT,TRAPT: a multi-stage fused deep learning framework for predicting transcriptional regulators based on large-scale epigenomic data,40240358,2025,"Phenotype Reprogramming (general TR prioritization applied to cell-fate decisions, disease, tissue-specific regulation)",https://github.com/TOSTRING-Z/TRAPT; web interface https://bio.liclab.net/TRAPT,10.5281/ZENODO.8080171;CHIP-ATLAS;CISTROME_DB;ENCODE;GSE37820;KNOCKTF
